"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","MBuyPrice","MRatio","YearReleased","Language","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5BuyPrice","PSA5AvgSell","PSA6Ratio","PSA6BuyPrice","PSA6AvgSell","PSA7Ratio","PSA7BuyPrice","PSA7AvgSell","PSA8Ratio","PSA8BuyPrice","PSA8AvgSell","PSA9Ratio","PSA9BuyPrice","PSA9AvgSell","PSA10Ratio","PSA10BuyPrice","PSA10AvgSell"
"Hitmonchan ex","030","ADV Expansion Pack","21.99","-17.00","-0.77",-17,"-0.77",50.99,"2.32",2003,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"3.64","50.99","79.99","4.66","70.09","102.46"
"Manectric","025","ADV Expansion Pack","6.50","-17.00","-2.62",-17,"-2.62",-4.02,"-0.62",2003,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.35","-4.02","15.27","5.36","12.62","34.85"
"Mewtwo ex","026","ADV Expansion Pack","38.17","-17.00","-0.45",-17,"-0.45",80.75,"2.12",2003,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"3.01","80.75","115.00","11.06","341.73","422.04"
"Sceptile","003","ADV Expansion Pack","9.50","-17.00","-1.79",-17,"-1.79",26.35,"2.77",2003,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"5.37","26.35","51.00","8.95","55.25","85.00"
"Sneasel ex","046","ADV Expansion Pack","13.99","-17.00","-1.22",-17,"-1.22",13.04,"0.93",2003,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.53","13.04","35.34","6.65","62.05","93.00"
"Swampert","016","ADV Expansion Pack","6.55","-17.00","-2.60",-17,"-2.60",7.65,"1.17",2003,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"4.43","7.65","29.00","22.90","110.49","149.99"
"Wailord","022","ADV Expansion Pack","7.00","-17.00","-2.43",-17,"-2.43",-1.9,"-0.27",2003,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.54","-1.90","17.76","7.41","27.11","51.89"
﻿"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","MBuyPrice","MRatio","YearReleased","Language","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5BuyPrice","PSA5AvgSell","PSA6Ratio","PSA6BuyPrice","PSA6AvgSell","PSA7Ratio","PSA7BuyPrice","PSA7AvgSell","PSA8Ratio","PSA8BuyPrice","PSA8AvgSell","PSA9Ratio","PSA9BuyPrice","PSA9AvgSell","PSA10Ratio","PSA10BuyPrice","PSA10AvgSell"
"Absol","035","ADV-P Promos","38.00","-17.00","-0.45",-17,"-0.45",72.25,"1.90",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.76","72.25","105.00","10.14","310.42","385.20"
"Absol","034","ADV-P Promos","9.23","-17.00","-1.84",-17,"-1.84",-17,"-1.84",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"5.41","25.49","49.99",0,"-17.00",0
"Ash's Treecko","036","ADV-P Promos","6.04","-17.00","-2.81",-17,"-2.81",-17,"-2.81",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"10.10","34.85","61.00",0,"-17.00",0
"Bulbasaur","051","ADV-P Promos","8.50","-17.00","-2.00",-17,"-2.00",3.82,"0.45",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.88","3.82","24.50","3.41","7.64","28.99"
"Butler's Kirlia","039","ADV-P Promos","122.45","-17.00","-0.14",-17,"-0.14",-17,"-0.14",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"0.59","44.20","72.00",0,"-17.00",0
"Charizard","054","ADV-P Promos","18.75","-17.00","-0.91",-17,"-0.91",14.02,"0.75",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.95","14.02","36.49","25.54","390.14","478.99"
"Charmander","052","ADV-P Promos","12.79","-17.00","-1.33",-17,"-1.33",-12.44,"-0.97",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"0.42","-12.44","5.37","19.55","195.50","250.00"
"Charmeleon","053","ADV-P Promos","18.84","-17.00","-0.90",-17,"-0.90",2.56,"0.14",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.22","2.56","23.01","3.05","31.88","57.50"
"Flygon","033","ADV-P Promos","8.80","-17.00","-1.93",-17,"-1.93",10.55,"1.20",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"3.68","10.55","32.41","17.90","116.88","157.50"
"Flygon","032","ADV-P Promos","9.75","-17.00","-1.74",-17,"-1.74",0.43,"0.04",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.10","0.43","20.50","4.21","17.85","41.00"
"Groudon","027","ADV-P Promos","25.00","-17.00","-0.68",-17,"-0.68",25.49,"1.02",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.00","25.49","49.99","10.07","197.08","251.86"
"Groudon","026","ADV-P Promos","6.99","-17.00","-2.43",-17,"-2.43",0.43,"0.06",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.93","0.43","20.50","7.15","25.50","50.00"
"Groudon ex","012","ADV-P Promos","14.00","-17.00","-1.21",-17,"-1.21",27.2,"1.94",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"3.71","27.20","52.00","21.43","237.99","299.99"
"Groudon ex","002","ADV-P Promos","6.48","-17.00","-2.62",-17,"-2.62",16.15,"2.49",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"6.02","16.15","39.00","20.91","98.17","135.50"
"Jirachi","025","ADV-P Promos","28.00","-17.00","-0.61",-17,"-0.61",26.35,"0.94",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.82","26.35","51.00","17.86","407.99","499.99"
"Ludicolo","022","ADV-P Promos","8.14","-17.00","-2.09",-17,"-2.09",5.86,"0.72",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"3.30","5.86","26.89","4.42","13.60","36.00"
"Meowth","029","ADV-P Promos","6.88","-17.00","-2.47",-17,"-2.47",-2.69,"-0.39",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.45","-2.69","16.83","33.45","178.49","229.99"
"Meowth","062","ADV-P Promos","21.85","-17.00","-0.78",-17,"-0.78",-17,"-0.78",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"0.69","-4.25","15.00",0,"-17.00",0
"Minun","050","ADV-P Promos","20.70","-17.00","-0.82",-17,"-0.82",-17,"-0.82",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"5.57","80.99","115.28",0,"-17.00",0
"Mudkip","005","ADV-P Promos","6.00","-17.00","-2.83",-17,"-2.83",-7.22,"-1.20",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.92","-7.22","11.50","50.00","238.00","300.00"
"Mudkip","020","ADV-P Promos","10.50","-17.00","-1.62",-17,"-1.62",21.89,"2.08",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"4.36","21.89","45.75","12.14","91.38","127.50"
"Oran Berry","043","ADV-P Promos","110.53","-17.00","-0.15",-17,"-0.15",-17,"-0.15",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"0.70","48.45","77.00",0,"-17.00",0
"Pikachu","057","ADV-P Promos","17.71","-17.00","-0.96",-17,"-0.96",17.85,"1.01",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.32","17.85","41.00","2.99","28.05","53.00"
"Pikachu","024","ADV-P Promos","56.00","-17.00","-0.30",-17,"-0.30",67.99,"1.21",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.79","67.99","99.99","7.77","352.88","435.15"
"Torchic","017","ADV-P Promos","5.37","-17.00","-3.17",-17,"-3.17",-9.78,"-1.82",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.58","-9.78","8.50","111.73","493.00","600.00"
"Torchic","018","ADV-P Promos","5.50","-17.00","-3.09",-17,"-3.09",60.35,"10.97",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"22.73","89.24","124.99","16.55","60.35","91.00"
"Treecko","003","ADV-P Promos","5.50","-17.00","-3.09",-17,"-3.09",-8.08,"-1.47",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.91","-8.08","10.50","17.27","63.75","95.00"
"Treecko","015","ADV-P Promos","10.99","-17.00","-1.55",-17,"-1.55",-7.22,"-0.66",2002,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.05","-7.22","11.50","3.55","16.15","39.00"
﻿"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","MBuyPrice","MRatio","YearReleased","Language","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5BuyPrice","PSA5AvgSell","PSA6Ratio","PSA6BuyPrice","PSA6AvgSell","PSA7Ratio","PSA7BuyPrice","PSA7AvgSell","PSA8Ratio","PSA8BuyPrice","PSA8AvgSell","PSA9Ratio","PSA9BuyPrice","PSA9AvgSell","PSA10Ratio","PSA10BuyPrice","PSA10AvgSell"
"Arceus","058","Advent of Arceus","8.50","-17.00","-2.00",-17,"-2.00",7.65,"0.90",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"3.41","7.65","29.00","13.38","79.69","113.75"
"Arceus","060","Advent of Arceus","12.43","-17.00","-1.37",-17,"-1.37",8.97,"0.72",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.46","8.97","30.55","18.42","177.65","229.00"
"Arceus","065","Advent of Arceus","7.33","-17.00","-2.32",-17,"-2.32",21.24,"2.90",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"14.02","70.30","102.71","6.14","21.24","44.99"
"Arceus","029","Advent of Arceus","9.50","-17.00","-1.79",-17,"-1.79",0.43,"0.05",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.16","0.43","20.50","24.22","178.49","229.99"
"Arceus","076","Advent of Arceus","14.63","-17.00","-1.16",-17,"-1.16",8.49,"0.58",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.05","8.49","29.99","11.36","124.31","166.25"
"Arceus LV.X","077","Advent of Arceus","14.08","-17.00","-1.21",-17,"-1.21",17.76,"1.26",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.90","17.76","40.89","7.53","73.10","106.00"
"Bagon","069","Advent of Arceus","11.94","-17.00","-1.42",-17,"-1.42",17,"1.42",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"3.35","17.00","40.00","15.54","140.67","185.50"
"Charizard","017","Advent of Arceus","18.98","-17.00","-0.90",-17,"-0.90",40.34,"2.13",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"3.55","40.34","67.46","7.90","110.50","150.00"
"Charmander","015","Advent of Arceus","6.50","-17.00","-2.62",-17,"-2.62",-0.01,"-0.00",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"3.08","-0.01","19.99","23.08","110.50","150.00"
"Gastly","040","Advent of Arceus","6.99","-17.00","-2.43",-17,"-2.43",-8.93,"-1.28",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.36","-8.93","9.50","3.72","5.12","26.02"
"Gengar","042","Advent of Arceus","13.25","-17.00","-1.28",-17,"-1.28",130.05,"9.82",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"13.06","130.05","173.00","16.95","173.95","224.65"
"Gengar LV.X","043","Advent of Arceus","39.50","-17.00","-0.43",-17,"-0.43",170.99,"4.33",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"5.60","170.99","221.17","22.14","726.40","874.59"
"Haunter","041","Advent of Arceus","7.87","-17.00","-2.16",-17,"-2.16",-8.93,"-1.14",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.21","-8.93","9.50","10.35","52.18","81.39"
"Kabutops","050","Advent of Arceus","8.60","-17.00","-1.98",-17,"-1.98",-3.81,"-0.44",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.80","-3.81","15.52","5.81","25.50","50.00"
"Pikachu","031","Advent of Arceus","7.75","-17.00","-2.19",-17,"-2.19",8.49,"1.10",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"3.87","8.49","29.99","5.68","20.40","43.99"
"Ponyta","019","Advent of Arceus","35.00","-17.00","-0.49",-17,"-0.49",28.05,"0.80",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.51","28.05","53.00","18.41","530.75","644.41"
"Salamence","071","Advent of Arceus","9.12","-17.00","-1.86",-17,"-1.86",0,"0.00",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.19","0.00","20.00","7.59","41.88","69.27"
"Salamence LV.X","072","Advent of Arceus","17.50","-17.00","-0.97",-17,"-0.97",16.15,"0.92",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.23","16.15","39.00","5.78","69.02","101.20"
"Shinx","037","Advent of Arceus","26.06","-17.00","-0.65",-17,"-0.65",43.35,"1.66",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.72","43.35","71.00","19.18","408.00","500.00"
"Tangrowth LV.X","004","Advent of Arceus","8.79","-17.00","-1.93",-17,"-1.93",17,"1.93",2009,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"4.55","17.00","40.00","16.52","106.53","145.33"
﻿"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","MBuyPrice","MRatio","YearReleased","Language","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5BuyPrice","PSA5AvgSell","PSA6Ratio","PSA6BuyPrice","PSA6AvgSell","PSA7Ratio","PSA7BuyPrice","PSA7AvgSell","PSA8Ratio","PSA8BuyPrice","PSA8AvgSell","PSA9Ratio","PSA9BuyPrice","PSA9AvgSell","PSA10Ratio","PSA10BuyPrice","PSA10AvgSell"
"Mallow","055","Alolan Moonlight","537.00","-17.00","-0.03",-17,"-0.03",224.4,"0.42",2017,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"0.53","224.40","284.00","1.68","748.00","900.00"
"Metagross GX","054","Alolan Moonlight","15.70","-17.00","-1.08",-17,"-1.08",-2.34,"-0.15",2017,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.10","-2.34","17.25","5.25","53.02","82.38"
