"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","YearReleased","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5AvgSell","PSA6Ratio","PSA6AvgSell","PSA7Ratio","PSA7AvgSell","PSA8Ratio","PSA8AvgSell","PSA9Ratio","PSA9AvgSell","PSA10Ratio","PSA10AvgSell"
"Manectric","025","ADV Expansion Pack","6.50","-17.00","-2.62",-17,"-2.62",2003,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.35","15.27","5.36","34.85"
"Mewtwo ex","026","ADV Expansion Pack","38.17","-17.00","-0.45",-17,"-0.45",2003,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.01","115.00","11.06","422.04"
"Sceptile","003","ADV Expansion Pack","9.50","-17.00","-1.79",-17,"-1.79",2003,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.37","51.00","8.95","85.00"
"Sneasel ex","046","ADV Expansion Pack","13.99","-17.00","-1.22",-17,"-1.22",2003,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.53","35.34","6.65","93.00"
"Swampert","016","ADV Expansion Pack","6.55","-17.00","-2.60",-17,"-2.60",2003,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.43","29.00","22.90","149.99"
"Wailord","022","ADV Expansion Pack","7.00","-17.00","-2.43",-17,"-2.43",2003,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.54","17.76","7.41","51.89"
﻿"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","YearReleased","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5AvgSell","PSA6Ratio","PSA6AvgSell","PSA7Ratio","PSA7AvgSell","PSA8Ratio","PSA8AvgSell","PSA9Ratio","PSA9AvgSell","PSA10Ratio","PSA10AvgSell"
"Absol","035","ADV-P Promos","38.00","-17.00","-0.45",-17,"-0.45",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.76","105.00","10.14","385.20"
"Absol","034","ADV-P Promos","9.23","-17.00","-1.84",-17,"-1.84",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.41","49.99",0,0
"Ash's Treecko","036","ADV-P Promos","6.04","-17.00","-2.81",-17,"-2.81",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.10","61.00",0,0
"Bulbasaur","051","ADV-P Promos","8.50","-17.00","-2.00",-17,"-2.00",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.88","24.50","3.41","28.99"
"Butler's Kirlia","039","ADV-P Promos","122.45","-17.00","-0.14",-17,"-0.14",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.59","72.00",0,0
"Charizard","054","ADV-P Promos","18.75","-17.00","-0.91",-17,"-0.91",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.95","36.49","25.54","478.99"
"Charmander","052","ADV-P Promos","12.79","-17.00","-1.33",-17,"-1.33",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.42","5.37","19.55","250.00"
"Charmeleon","053","ADV-P Promos","18.84","-17.00","-0.90",-17,"-0.90",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.22","23.01","3.05","57.50"
"Flygon","033","ADV-P Promos","8.80","-17.00","-1.93",-17,"-1.93",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.68","32.41","17.90","157.50"
"Flygon","032","ADV-P Promos","9.75","-17.00","-1.74",-17,"-1.74",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.10","20.50","4.21","41.00"
"Groudon","027","ADV-P Promos","25.00","-17.00","-0.68",-17,"-0.68",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.00","49.99","10.07","251.86"
"Groudon","026","ADV-P Promos","6.99","-17.00","-2.43",-17,"-2.43",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93","20.50","7.15","50.00"
"Groudon ex","012","ADV-P Promos","14.00","-17.00","-1.21",-17,"-1.21",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.71","52.00","21.43","299.99"
"Groudon ex","002","ADV-P Promos","6.48","-17.00","-2.62",-17,"-2.62",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.02","39.00","20.91","135.50"
"Jirachi","025","ADV-P Promos","28.00","-17.00","-0.61",-17,"-0.61",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.82","51.00","17.86","499.99"
"Ludicolo","022","ADV-P Promos","8.14","-17.00","-2.09",-17,"-2.09",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.30","26.89","4.42","36.00"
"Meowth","029","ADV-P Promos","6.88","-17.00","-2.47",-17,"-2.47",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.45","16.83","33.45","229.99"
"Meowth","062","ADV-P Promos","21.85","-17.00","-0.78",-17,"-0.78",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.69","15.00",0,0
"Minun","050","ADV-P Promos","20.70","-17.00","-0.82",-17,"-0.82",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.57","115.28",0,0
"Mudkip","005","ADV-P Promos","6.00","-17.00","-2.83",-17,"-2.83",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.92","11.50","50.00","300.00"
"Mudkip","020","ADV-P Promos","10.50","-17.00","-1.62",-17,"-1.62",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.36","45.75","12.14","127.50"
"Oran Berry","043","ADV-P Promos","110.53","-17.00","-0.15",-17,"-0.15",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.70","77.00",0,0
"Pikachu","057","ADV-P Promos","17.71","-17.00","-0.96",-17,"-0.96",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.32","41.00","2.99","53.00"
"Pikachu","024","ADV-P Promos","56.00","-17.00","-0.30",-17,"-0.30",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.79","99.99","7.77","435.15"
"Torchic","017","ADV-P Promos","5.37","-17.00","-3.17",-17,"-3.17",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.58","8.50","111.73","600.00"
"Torchic","018","ADV-P Promos","5.50","-17.00","-3.09",-17,"-3.09",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22.73","124.99","16.55","91.00"
"Treecko","003","ADV-P Promos","5.50","-17.00","-3.09",-17,"-3.09",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.91","10.50","17.27","95.00"
"Treecko","015","ADV-P Promos","10.99","-17.00","-1.55",-17,"-1.55",2002,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.05","11.50","3.55","39.00"
﻿"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","YearReleased","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5AvgSell","PSA6Ratio","PSA6AvgSell","PSA7Ratio","PSA7AvgSell","PSA8Ratio","PSA8AvgSell","PSA9Ratio","PSA9AvgSell","PSA10Ratio","PSA10AvgSell"
"Arceus","058","Advent of Arceus","8.50","-17.00","-2.00",-17,"-2.00",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.41","29.00","13.38","113.75"
"Arceus","060","Advent of Arceus","12.43","-17.00","-1.37",-17,"-1.37",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.46","30.55","18.42","229.00"
"Arceus","065","Advent of Arceus","7.33","-17.00","-2.32",-17,"-2.32",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14.02","102.71","6.14","44.99"
"Arceus","029","Advent of Arceus","9.50","-17.00","-1.79",-17,"-1.79",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.16","20.50","24.22","229.99"
"Arceus","076","Advent of Arceus","14.63","-17.00","-1.16",-17,"-1.16",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.05","29.99","11.36","166.25"
"Arceus LV.X","077","Advent of Arceus","14.08","-17.00","-1.21",-17,"-1.21",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.90","40.89","7.53","106.00"
"Bagon","069","Advent of Arceus","11.94","-17.00","-1.42",-17,"-1.42",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.35","40.00","15.54","185.50"
"Charizard","017","Advent of Arceus","18.98","-17.00","-0.90",-17,"-0.90",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.55","67.46","7.90","150.00"
"Charmander","015","Advent of Arceus","6.50","-17.00","-2.62",-17,"-2.62",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.08","19.99","23.08","150.00"
"Gastly","040","Advent of Arceus","6.99","-17.00","-2.43",-17,"-2.43",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.36","9.50","3.72","26.02"
"Gengar","042","Advent of Arceus","13.25","-17.00","-1.28",-17,"-1.28",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13.06","173.00","16.95","224.65"
"Gengar LV.X","043","Advent of Arceus","39.50","-17.00","-0.43",-17,"-0.43",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.60","221.17","22.14","874.59"
"Haunter","041","Advent of Arceus","7.87","-17.00","-2.16",-17,"-2.16",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.21","9.50","10.35","81.39"
"Kabutops","050","Advent of Arceus","8.60","-17.00","-1.98",-17,"-1.98",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.80","15.52","5.81","50.00"
"Pikachu","031","Advent of Arceus","7.75","-17.00","-2.19",-17,"-2.19",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.87","29.99","5.68","43.99"
"Ponyta","019","Advent of Arceus","35.00","-17.00","-0.49",-17,"-0.49",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.51","53.00","18.41","644.41"
"Salamence","071","Advent of Arceus","9.12","-17.00","-1.86",-17,"-1.86",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.19","20.00","7.59","69.27"
"Salamence LV.X","072","Advent of Arceus","17.50","-17.00","-0.97",-17,"-0.97",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.23","39.00","5.78","101.20"
"Shinx","037","Advent of Arceus","26.06","-17.00","-0.65",-17,"-0.65",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.72","71.00","19.18","500.00"
"Tangrowth LV.X","004","Advent of Arceus","8.79","-17.00","-1.93",-17,"-1.93",2009,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.55","40.00","16.52","145.33"
﻿"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","YearReleased","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5AvgSell","PSA6Ratio","PSA6AvgSell","PSA7Ratio","PSA7AvgSell","PSA8Ratio","PSA8AvgSell","PSA9Ratio","PSA9AvgSell","PSA10Ratio","PSA10AvgSell"
"Mallow","055","Alolan Moonlight","537.00","-17.00","-0.03",-17,"-0.03",2017,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.53","284.00","1.68","900.00"
"Metagross GX","054","Alolan Moonlight","15.70","-17.00","-1.08",-17,"-1.08",2017,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.10","17.25","5.25","82.38"
﻿"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","YearReleased","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5AvgSell","PSA6Ratio","PSA6AvgSell","PSA7Ratio","PSA7AvgSell","PSA8Ratio","PSA8AvgSell","PSA9Ratio","PSA9AvgSell","PSA10Ratio","PSA10AvgSell"
"Cynthia & Caitlin","106","Alter Genesis","125.00","-17.00","-0.14",-17,"-0.14",2019,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.55","68.50","1.53","191.25"
"Mallow & Lana","107","Alter Genesis","91.98","-17.00","-0.18",-17,"-0.18",2019,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.11","102.50","2.22","204.31"
"Mega Lopunny & Jigglypuff GX","103","Alter Genesis","15.80","-17.00","-1.08",-17,"-1.08",2019,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.05","16.52","2.28","36.00"
"Naganadel & Guzzlord GX","102","Alter Genesis","65.00","-17.00","-0.26",-17,"-0.26",2019,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.03","66.98","1.25","81.00"
"Professor Elm's Lecture","095","Alter Genesis","6.27","-17.00","-2.71",-17,"-2.71",2019,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9.73","61.00","3.43","21.50"
"Red & Blue","108","Alter Genesis","39.98","-17.00","-0.43",-17,"-0.43",2019,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.61","64.50","2.47","98.91"
﻿"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","YearReleased","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5AvgSell","PSA6Ratio","PSA6AvgSell","PSA7Ratio","PSA7AvgSell","PSA8Ratio","PSA8AvgSell","PSA9Ratio","PSA9AvgSell","PSA10Ratio","PSA10AvgSell"
"Aegislash EX","65a","Alternate Art Promos","7.27","-17.00","-2.34",-17,"-2.34",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.17","8.50","10.45","76.00"
"Blacksmith","88a","Alternate Art Promos","10.46","-17.00","-1.63",-17,"-1.63",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.06","31.99","3.67","38.38"
"Dedenne GX","195a","Alternate Art Promos","5.30","-17.00","-3.21",-17,"-3.21",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.30","17.49","3.77","20.00"
"Delinquent","98b","Alternate Art Promos","28.07","-17.00","-0.61",-17,"-0.61",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.69","103.51","14.25","400.00"
"Eevee","101a","Alternate Art Promos","8.29","-17.00","-2.05",-17,"-2.05",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.02","24.99","4.57","37.90"
"Heatran","88","Alternate Art Promos","6.83","-17.00","-2.49",-17,"-2.49",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.83","12.50","1.24","8.50"
"Hex Maniac","75a","Alternate Art Promos","56.29","-17.00","-0.30",-17,"-0.30",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.11","174.99","24.87","1400.00"
"Jirachi","XY67a","Alternate Art Promos","37.02","-17.00","-0.46",-17,"-0.46",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.03","75.31","8.37","310.00"
"Jolteon EX","28a","Alternate Art Promos","7.63","-17.00","-2.23",-17,"-2.23",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.43","26.17","11.13","84.89"
"Karen","XY177a","Alternate Art Promos","38.60","-17.00","-0.44",-17,"-0.44",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.34","90.34","16.84","650.00"
"M Camerupt EX","XY198a","Alternate Art Promos","6.77","-17.00","-2.51",-17,"-2.51",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.96","20.05","5.32","36.00"
"Metagross GX","157a","Alternate Art Promos","18.05","-17.00","-0.94",-17,"-0.94",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.86","15.50","3.88","69.97"
"M Lucario EX","55a","Alternate Art Promos","13.62","-17.00","-1.25",-17,"-1.25",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.57","34.99","9.15","124.57"
"M Manectric EX","24a","Alternate Art Promos","5.30","-17.00","-3.21",-17,"-3.21",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.87","31.12","16.99","90.00"
"M Sharpedo EX","XY200a","Alternate Art Promos","15.28","-17.00","-1.11",-17,"-1.11",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.62","39.99","3.47","53.00"
"N","105a","Alternate Art Promos","55.91","-17.00","-0.30",-17,"-0.30",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.85","103.60","5.19","289.99"
"Professor's Letter","146a","Alternate Art Promos","7.49","-17.00","-2.27",-17,"-2.27",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.87","6.50",0,0
"Rayquaza GX","177a","Alternate Art Promos","38.98","-17.00","-0.44",-17,"-0.44",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.48","57.54","3.35","130.69"
"Regirock EX","43a","Alternate Art Promos","7.96","-17.00","-2.14",-17,"-2.14",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.81","14.38","10.06","79.99"
"Shauna","111a","Alternate Art Promos","31.22","-17.00","-0.54",-17,"-0.54",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.33","41.66","21.30","665.00"
"Shaymin EX","77a","Alternate Art Promos","43.27","-17.00","-0.39",-17,"-0.39",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.31","99.89","7.16","310.00"
"Sylveon GX","92a","Alternate Art Promos","7.50","-17.00","-2.27",-17,"-2.27",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.34","10.03","5.34","40.00"
"Tapu Lele GX","60a","Alternate Art Promos","5.95","-17.00","-2.86",-17,"-2.86",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.20","13.05",0,0
"Team Flare Grunt","73a","Alternate Art Promos","10.23","-17.00","-1.66",-17,"-1.66",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.73","17.66","13.19","134.99"
"Togepi & Cleffa & Igglybuff GX","143a","Alternate Art Promos","58.86","-17.00","-0.29",-17,"-0.29",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.58","93.08","1.82","107.13"
"Umbreon","120","Alternate Art Promos","10.23","-17.00","-1.66",-17,"-1.66",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.50","5.10","4.74","48.50"
"Yveltal EX","XY150a","Alternate Art Promos","52.12","-17.00","-0.33",-17,"-0.33",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.53","79.99","4.34","226.33"
"Zoroark GX","77a","Alternate Art Promos","13.12","-17.00","-1.30",-17,"-1.30",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.27","29.76","3.43","45.00"
"Zygarde EX","54a","Alternate Art Promos","8.40","-17.00","-2.02",-17,"-2.02",2014,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.93","33.00","11.87","99.75"
﻿"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","YearReleased","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5AvgSell","PSA6Ratio","PSA6AvgSell","PSA7Ratio","PSA7AvgSell","PSA8Ratio","PSA8AvgSell","PSA9Ratio","PSA9AvgSell","PSA10Ratio","PSA10AvgSell"
"Energy Retrieval","99","Ancient Origins","19.28","-17.00","-0.88",-8.08,"-0.42",2015,"0.71",0,0,0,0,0,0,0,0,0,0,"0.54","10.50","1.33","25.59","0.70","13.50","1.61","31.00"
"Full Art Ampharos EX","87","Ancient Origins","10.83","-17.00","-1.57",-13.43,"-1.24",2015,"1.01",0,0,0,0,0,0,0,0,"1.65","17.82","0.39","4.20","1.93","20.87","2.12","23.00","11.77","127.50"
"Full Art Giratina EX","93","Ancient Origins","28.92","-17.00","-0.59",8.5,"0.29",2015,"0.93",0,0,0,0,0,0,0,0,0,0,"1.04","30.00","1.89","54.62","2.78","80.50","12.10","349.99"
"Full Art Hoopa EX","89","Ancient Origins","11.09","-17.00","-1.53",-17,"-1.53",2015,"0.89",0,0,0,0,0,0,0,0,"1.24","13.80",0,0,"1.40","15.52","2.34","26.00","4.51","49.99"
"Full Art Kyurem EX","86","Ancient Origins","9.80","-17.00","-1.73",-10.19,"-1.04",2015,"0.81",0,0,0,0,0,0,0,0,0,0,"0.82","8.01","1.53","15.00","2.42","23.75","11.73","115.00"
